iter	Logloss
0	0.5623711909
1	0.4723544584
2	0.4141972763
3	0.3721445679
4	0.3421716179
5	0.3204235997
6	0.3030114831
7	0.2878884625
8	0.2767198421
9	0.2659170942
10	0.2594532347
11	0.2520641298
12	0.2474022268
13	0.2424647238
14	0.2391880934
15	0.2360374292
16	0.2337625235
17	0.2305435785
18	0.2289121559
19	0.2268840008
20	0.2250086611
21	0.2234620263
22	0.2220478617
23	0.2205817795
24	0.2194494993
25	0.2177657182
26	0.2166005041
27	0.215679744
28	0.2149687181
29	0.2142995197
30	0.2134964712
31	0.2123552446
32	0.211196631
33	0.210637807
34	0.2097467473
35	0.2093947984
36	0.208667963
37	0.2077232579
38	0.2071230348
39	0.2066231448
40	0.2059319758
41	0.2053527129
42	0.2047763901
43	0.2043590707
44	0.2040224912
45	0.2035345718
46	0.2030061395
47	0.2026047411
48	0.2021786273
49	0.2018899391
50	0.2012742523
51	0.2009262639
52	0.200596737
53	0.2002034593
54	0.199816395
55	0.1994641878
56	0.1992723953
57	0.1988104541
58	0.1985550549
59	0.1981305257
60	0.1979141479
61	0.1975504806
62	0.1973828048
63	0.1971694864
64	0.1966564975
65	0.19643415
66	0.1961147391
67	0.195942259
68	0.1956911702
69	0.195372554
70	0.1951707408
71	0.1949421184
72	0.1946124709
73	0.1944773066
74	0.1941555772
75	0.1939305838
76	0.193712603
77	0.193266379
78	0.1931237985
79	0.1928639483
80	0.1926713041
81	0.1924702269
82	0.1921817917
83	0.192073536
84	0.1916656374
85	0.191474736
86	0.1913364238
87	0.1910974331
88	0.1909915219
89	0.1908751007
90	0.1906603739
91	0.190522785
92	0.1904243455
93	0.1902065479
94	0.1900063876
95	0.1899350713
96	0.1897564707
97	0.189548116
98	0.1894118022
99	0.1893197968
100	0.1891954163
101	0.18910703
102	0.1890398508
103	0.1889574328
104	0.1888161937
105	0.1885895018
106	0.1884946064
107	0.1883463337
108	0.1882813593
109	0.1882170704
110	0.1881098081
111	0.1878013381
112	0.1876486122
113	0.1876040533
114	0.187388192
115	0.1873105295
116	0.1872449624
117	0.1870976102
118	0.1870469921
119	0.1868565122
120	0.1867868355
121	0.1866484336
122	0.1865208691
123	0.1863634351
124	0.1861782273
125	0.1860745746
126	0.1859277601
127	0.1858670022
128	0.1857892445
129	0.1856857768
130	0.185630492
131	0.1854979152
132	0.1854384541
133	0.1852949676
134	0.1851295008
135	0.1849349475
136	0.1848165287
137	0.1847545447
138	0.1846740044
139	0.1846293601
140	0.1845972177
141	0.1844545963
142	0.1843712877
143	0.1842889101
144	0.1841229803
145	0.1840731428
146	0.1840045281
147	0.1838408588
148	0.1837279913
149	0.1836016679
150	0.1834368556
151	0.1833734322
152	0.1831523937
153	0.1830466586
154	0.1830118116
155	0.1829560093
156	0.1828855752
157	0.1827969527
158	0.1826686548
159	0.1825296182
160	0.1824799797
161	0.1824530908
162	0.1823188359
163	0.1822995157
164	0.1822046755
165	0.1821296503
166	0.1820797039
167	0.1819987552
168	0.1819425112
169	0.181876035
170	0.1817819192
171	0.1817197202
172	0.1816684407
173	0.1815358594
174	0.1814895193
175	0.1814659625
176	0.1813679025
177	0.1813085915
178	0.1812537075
179	0.1811871706
180	0.1811208478
181	0.1810357879
182	0.1809408007
183	0.1808615651
184	0.180798536
185	0.1806755425
186	0.1806375848
187	0.1805900777
188	0.1805604249
189	0.1804452471
190	0.1803702545
191	0.1802755195
192	0.1801894769
193	0.1801203434
194	0.1800629188
195	0.1800378557
196	0.1799714199
197	0.179927324
198	0.1799073672
199	0.1798287393
200	0.1797769249
201	0.1797516971
202	0.1796780488
203	0.1796087405
204	0.1795811508
205	0.1794881526
206	0.1794061696
207	0.1793431176
208	0.1792290098
209	0.1792258334
210	0.1791150413
211	0.1790771081
212	0.1790220435
213	0.1789467327
214	0.1788835096
215	0.1787819616
216	0.1787686476
217	0.1787131274
218	0.1786034105
219	0.1785714302
220	0.1785166861
221	0.1784353793
222	0.1784344407
223	0.1783693937
224	0.1783419288
225	0.1782882372
226	0.1782877651
227	0.1782103646
228	0.1781118811
229	0.1780704671
230	0.1779887445
231	0.1779440968
232	0.1778768143
233	0.1778166273
234	0.1777340007
235	0.1776857433
236	0.1776462703
237	0.1775883107
238	0.1775516938
239	0.1775227979
240	0.1774680654
241	0.1773289716
242	0.1772642213
243	0.1772257533
244	0.1771741937
245	0.1771032383
246	0.1770250052
247	0.1769607646
248	0.176939696
249	0.1768712799
250	0.176840649
251	0.1767996886
252	0.1767800497
253	0.1766968175
254	0.1766752468
255	0.17663232
256	0.1765921278
257	0.176535252
258	0.1764972713
259	0.1764682677
260	0.1764307291
261	0.1763776756
262	0.1763315057
263	0.1763137431
264	0.1762260814
265	0.1762088603
266	0.1761552975
267	0.1761008987
268	0.1760592173
269	0.1759999857
270	0.1759431427
271	0.1758790905
272	0.1758502133
273	0.1757728339
274	0.1757182785
275	0.1756469307
276	0.1755837011
277	0.1755227671
278	0.1754265113
279	0.1754049905
280	0.1753663577
281	0.1753568711
282	0.175314495
283	0.1752788895
284	0.1752200069
285	0.1752016785
286	0.1751607428
287	0.1750935551
288	0.1750158102
289	0.1749680422
290	0.1749289051
291	0.1748798059
292	0.1748274278
293	0.1747901824
294	0.1747899721
295	0.1747748063
296	0.1747250161
297	0.1746711372
298	0.1746058981
299	0.1746057352
