iter	Passed	Remaining
0	66	19897
1	130	19435
2	196	19461
3	265	19634
4	337	19890
5	396	19442
6	462	19345
7	527	19236
8	593	19190
9	655	19006
10	717	18842
11	790	18962
12	852	18823
13	922	18851
14	984	18696
15	1048	18605
16	1111	18507
17	1187	18607
18	1247	18445
19	1321	18497
20	1386	18414
21	1451	18336
22	1516	18263
23	1586	18246
24	1654	18204
25	1725	18179
26	1792	18129
27	1864	18115
28	1926	17999
29	1990	17910
30	2062	17896
31	2135	17887
32	2213	17912
33	2291	17928
34	2363	17892
35	2433	17849
36	2506	17818
37	2580	17794
38	2654	17764
39	2724	17707
40	2790	17625
41	2863	17589
42	2930	17516
43	3002	17470
44	3070	17396
45	3144	17361
46	3220	17333
47	3289	17271
48	3362	17221
49	3428	17142
50	3499	17083
51	3572	17037
52	3642	16974
53	3717	16936
54	3795	16906
55	3865	16842
56	3936	16782
57	4013	16747
58	4087	16697
59	4163	16655
60	4229	16572
61	4298	16501
62	4370	16439
63	4441	16376
64	4628	16732
65	4693	16641
66	4770	16589
67	4843	16524
68	4919	16469
69	4995	16413
70	5070	16355
71	5143	16287
72	5218	16226
73	5292	16164
74	5374	16122
75	5448	16059
76	5523	15996
77	5603	15949
78	5670	15861
79	5742	15791
80	5817	15729
81	5886	15648
82	5959	15580
83	6026	15496
84	6102	15435
85	6174	15364
86	6244	15287
87	6317	15219
88	6388	15146
89	6457	15067
90	6530	14998
91	6599	14920
92	6667	14840
93	6746	14785
94	6827	14733
95	6899	14662
96	6970	14587
97	7042	14515
98	7114	14444
99	7183	14367
100	7259	14302
101	7332	14233
102	7405	14164
103	7475	14089
104	7543	14008
105	7609	13927
106	7679	13852
107	7752	13781
108	7828	13717
109	7893	13634
110	7964	13561
111	8038	13493
112	8116	13430
113	8184	13353
114	8259	13286
115	8334	13220
116	8403	13143
117	8478	13076
118	8552	13008
119	8624	12936
120	8692	12858
121	8761	12783
122	8844	12727
123	8922	12664
124	8999	12599
125	9072	12528
126	9143	12455
127	9217	12386
128	9291	12316
129	9363	12244
130	9431	12166
131	9512	12106
132	9580	12030
133	9654	11959
134	9726	11887
135	9802	11820
136	9875	11749
137	9950	11680
138	10020	11606
139	10090	11531
140	10154	11451
141	10234	11387
142	10303	11311
143	10390	11256
144	10463	11185
145	10533	11110
146	10602	11035
147	10677	10965
148	10761	10905
149	10838	10838
150	10912	10767
151	10985	10696
152	11064	10630
153	11133	10555
154	11206	10483
155	11278	10410
156	11353	10340
157	11422	10265
158	11496	10195
159	11569	10123
160	11640	10050
161	11710	9975
162	11801	9919
163	11872	9845
164	11956	9782
165	12034	9714
166	12104	9640
167	12176	9567
168	12261	9504
169	12343	9438
170	12433	9379
171	12506	9306
172	12576	9232
173	12648	9159
174	12718	9084
175	12785	9007
176	12864	8939
177	12934	8865
178	13007	8793
179	13077	8718
180	13145	8642
181	13219	8570
182	13291	8498
183	13367	8427
184	13433	8350
185	13502	8275
186	13573	8202
187	13641	8127
188	13709	8051
189	13780	7978
190	13856	7907
191	13934	7838
192	14008	7766
193	14084	7695
194	14155	7622
195	14221	7545
196	14290	7471
197	14359	7397
198	14428	7323
199	14512	7256
200	14588	7185
201	14660	7112
202	14731	7039
203	14806	6967
204	14875	6893
205	14943	6818
206	15019	6747
207	15092	6675
208	15166	6603
209	15231	6527
210	15307	6456
211	15386	6386
212	15463	6316
213	15536	6243
214	15612	6172
215	15691	6102
216	15755	6026
217	15828	5953
218	15897	5879
219	15971	5807
220	16042	5734
221	16118	5663
222	16178	5586
223	16253	5514
224	16322	5440
225	16394	5367
226	16463	5294
227	16550	5226
228	16632	5156
229	16701	5082
230	16777	5011
231	16846	4937
232	16964	4878
233	17099	4822
234	17175	4750
235	17249	4677
236	17321	4604
237	17398	4532
238	17470	4458
239	17544	4386
240	17613	4312
241	17693	4240
242	17767	4167
243	17835	4093
244	17906	4019
245	17978	3946
246	18051	3873
247	18126	3800
248	18198	3727
249	18272	3654
250	18342	3580
251	18419	3508
252	18487	3434
253	18566	3362
254	18635	3288
255	18702	3214
256	18773	3141
257	18845	3067
258	18918	2994
259	18990	2921
260	19058	2847
261	19130	2774
262	19199	2701
263	19266	2627
264	19343	2554
265	19412	2481
266	19483	2408
267	19552	2334
268	19619	2260
269	19688	2187
270	19762	2114
271	19841	2042
272	19907	1968
273	19987	1896
274	20061	1823
275	20136	1750
276	20210	1678
277	20283	1605
278	20358	1532
279	20435	1459
280	20514	1387
281	20582	1313
282	20657	1240
283	20729	1167
284	20805	1095
285	20870	1021
286	20938	948
287	21011	875
288	21089	802
289	21156	729
290	21224	656
291	21295	583
292	21369	510
293	21445	437
294	21508	364
295	21574	291
296	21647	218
297	21717	145
298	21796	72
299	21857	0
